"Timestamp","id_sourvey","respondent_gender","respondent_birth_year","respondent_education_level","respondent_years_academic_jobs","respondent_particip_local_elections","party","idiological_value"
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"POLO Democrático Alternativo",1
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"Colombia Humana",1
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"P. UP",1
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"P. Comunista Colombiano",2
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"MAIS",2
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"FARC partido",2
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"ASI",2
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"Alizana Verde",3
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"Opción Ciudadana",5
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"Cambio Radical",8
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"P. Conservador",8
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"Colombia Justa Libres",9
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"P. Liberal",9
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"MIRA",9
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"Centro Democrático",9
"2020-09-15 09:34:37",1,"Mujer",1994,"Profesional",0,2,"P. de la U",9
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"FARC partido",1
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"POLO Democrático Alternativo",2
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"P. Comunista Colombiano",2
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"MAIS",2
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"P. UP",2
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"Colombia Humana",3
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"Alizana Verde",4
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"ASI",7
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"P. Conservador",8
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"P. Liberal",8
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"MIRA",8
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"P. de la U",8
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"Colombia Justa Libres",9
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"Cambio Radical",9
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"Centro Democrático",9
"2020-09-15 10:07:08",2,"Hombre",1993,"Profesional",0,0,"Opción Ciudadana",9
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"POLO Democrático Alternativo",1
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"P. Comunista Colombiano",1
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"Colombia Humana",1
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"FARC partido",1
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"ASI",2
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"P. UP",2
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"MAIS",3
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"Alizana Verde",3
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"P. Liberal",6
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"Cambio Radical",7
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"P. Conservador",7
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"P. de la U",7
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"Centro Democrático",8
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"Colombia Justa Libres",9
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"MIRA",9
"2020-10-08 11:10:04",3,"Hombre",1999,"Profesional",0,1,"Opción Ciudadana",9
