"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
5001,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5002,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5004,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5021,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
5030,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5031,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5034,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5036,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5038,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5040,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
5042,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5044,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5045,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
5051,"center-right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
5055,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5059,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5079,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5086,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5088,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5091,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5093,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5101,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5107,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
5113,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5120,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
5125,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5129,"right","center-left","right","center-right","right","center-right","flip to left","flip to right","stable right","stable right"
5134,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
5138,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5142,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5145,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5147,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
5148,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5150,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5154,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
5172,"center-right","right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
5190,"center-right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5197,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5206,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5209,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5212,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5234,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
5237,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5240,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5250,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
5264,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
5266,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5282,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
5284,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
